"english","japanese","furigana","type"
"lively","賑やかな","にぎやかな","na"
"quiet","静かな","しずかな","na"
"convenient","便利な","べんりな","na"
"famous","有名な","ゆうめいな","na"
"pretty","綺麗な","きれいな","na"
"kind","親切な","しんせつな","na"
"free","暇な","ひまな","na"
"big","大きい","おおきい","i"
"small","小さい","ちいさい","i"
"expensive","高い","たかい","i"
"cheap","安い","やすい","i"
"new","新しい","あたらしい","i"
"old","古い","ふるい","i"
"near","近い","ちかい","i"
"far","遠い","とおい","i"
"difficult","難しい","むずかしい","i"
"easy","易しい","やさしい","i"
"sweet","甘い","あまい","i"
"spicy,hot","辛い","からい","i"
"hot","暑い","あつい","i"
"cold","寒い","さむい","i"
"good","いい","いい","i"
"interesting","面白い","おもしろい","i"
"busy","忙しい","いそがしい","i"
"delicious","美味しい","おいしい","i"